id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"284","Killers","2010","Jun","Action","PG-13","100","English","Robert Luketic","Bob DeRosa","Ashton Kutcher","21","54","70670","75000000","47000485"
"285","Noah","2014","Mar","Action","PG-13","138","English","Darren Aronofsky","Darren Aronofsky","Russell Crowe","68","58","193859","125000000","101160529"
"286","Sucker Punch","2011","Mar","Action","PG-13","110","English","Zack Snyder","Zack Snyder","Emily Browning","33","61","192013","82000000","36392502"
"287","Love Ranch","2010","Jan","Comedy","R","117","English","Taylor Hackford","Mark Jacobson","Helen Mirren","37","57","2341","25000000","134904"
"288","Pride and Prejudice and Zombies","2016","Feb","Action","PG-13","107","English","Burr Steers","Burr Steers","Lily James","45","62","6711","28000000","5324240"
"289","Ride Along","2014","Jan","Action","PG-13","99","English","Tim Story","Greg Coolidge","Ice Cube","41","62","67807","25000000","134141530"
"290","12 Years a Slave","2013","Nov","Biography","R","134","English","Steve McQueen","John Ridley","Chiwetel Ejiofor","97","81","409955","20000000","56667870"
"291","Bad Words","2013","Mar","Comedy","R","89","English","Jason Bateman","Andrew Dodge","Jason Bateman","57","67","36386","9500000","7738136"
"292","Crimson Peak","2015","Oct","Drama","R","119","English","Guillermo del Toro","Guillermo del Toro","Mia Wasikowska","66","67","63384","55000000","31056945"
"293","The Hunger Games: Catching Fire","2013","Nov","Adventure","PG-13","146","English","Francis Lawrence","Simon Beaufoy","Jennifer Lawrence","76","76","475539","130000000","424645577"
"294","Unconditional","2012","Sep","Drama","PG-13","92","English","Brent McCorkle","Brent McCorkle","Lynn Collins","N/A","72","3407","2000000","1005800"
"295","Zookeeper","2011","Jul","Comedy","PG","102","English","Frank Coraci","Nick Bakay","Kevin James","30","52","42877","80000000","80360866"
"296","Poltergeist","2015","Jun","Fantasy","PG","114","English","Tobe Hooper","Steven Spielberg","Craig T. Nelson","79","74","99989","35000000","47415690"
"297","Long Shot: The Kevin Laue Story","2012","Oct","Documentary","PG-13","93","English","Franklin Martin","Franklin Martin","Kevin Laue","55","69","17","350000","17916"
"298","Silver Linings Playbook","2012","Dec","Comedy","R","122","English","David O. Russell","David O. Russell","Bradley Cooper","81","78","510693","21000000","132088910"
"299","Fifty Shades of Grey","2015","Feb","Drama","R","125","English","Sam Taylor-Johnson","Kelly Marcel","Dakota Johnson","46","41","209678","40000000","166167230"
"300","Rosewater","2014","Nov","Biography","R","103","English","Jon Stewart","Jon Stewart","Gael García Bernal","67","66","7698","5000000","3128941"
"301","Oz the Great and Powerful","2013","Mar","Adventure","PG","130","English","Sam Raimi","Mitchell Kapner","James Franco","44","64","171576","215000000","234911825"
"302","Stonewall","2015","Sep","Drama","R","129","English","Roland Emmerich","Jon Robin Baitz","Joey King","30","41","1176","13500000","186354"
"303","Yossi","2012","May","Drama","NOT RATED","84","Hebrew","Eytan Fox","Itay Segal","Ohad Knoller","66","69","2004","500000","116207"
"304","The Eagle","2011","Feb","Action","PG-13","114","English","Kevin Macdonald","Jeremy Brock","Channing Tatum","55","62","51622","25000000","19490041"
"305","Shaun the Sheep Movie","2015","Aug","Animation","PG","85","N/A","Mark Burton, Richard Starzak","Mark Burton","Justin Fletcher","81","74","20038","25000000","19321230"
"306","Universal Soldier: Day of Reckoning","2012","Oct","Action","R","114","English","John Hyams","John Hyams","Scott Adkins","58","50","15776","11500000","5247"
"307","Make Your Move","2013","Apr","Drama","PG-13","110","English","Duane Adler","Duane Adler","Derek Hough","40","57","2372","15000000","122293"
"308","The Bling Ring","2013","Jun","Biography","R","90","English","Sofia Coppola","Sofia Coppola","Katie Chang","66","56","64979","15000000","5831740"
"309","Inside Out","2015","Jun","Animation","PG","95","English","Pete Docter, Ronnie Del Carmen","Pete Docter","Amy Poehler","94","83","267253","175000000","356454367"
"310","Country Strong","2010","Jan","Drama","PG-13","117","English","Shana Feste","Shana Feste","Gwyneth Paltrow","45","63","14489","15000000","20218921"
"311","Trainwreck","2015","Jul","Comedy","R","125","English","Judd Apatow","Amy Schumer","Colin Quinn","75","64","76603","35000000","110008260"
"312","Left Behind","2014","Oct","Action","PG-13","110","English","Vic Armstrong","Jerry B. Jenkins","Nicolas Cage","12","31","23215","16000000","6300147"
"313","Hating Breitbart","2012","Oct","Documentary","PG-13","85","English","Andrew Marcus","Andrew Marcus","Andrew Breitbart","29","68","321","1000000","81432"
"314","The Last Airbender","2010","Jul","Action","PG","103","English","M. Night Shyamalan","M. Night Shyamalan","Noah Ringer","20","42","115253","150000000","131564731"
"315","The DUFF","2015","Feb","Comedy","PG-13","101","English","Ari Sandel","Josh A. Cagan","Mae Whitman","56","66","44536","8500000","34017854"
"316","The Canyons","2013","Aug","Drama","R","99","English","Paul Schrader","Bret Easton Ellis","Lindsay Lohan","36","39","8198","250000","49494"
"317","Dracula Untold","2014","Oct","Action","PG-13","92","English","Gary Shore","Matt Sazama","Luke Evans","40","63","130900","70000000","56280355"
"318","The Social Network","2010","Oct","Biography","PG-13","120","English","David Fincher","Aaron Sorkin","Jesse Eisenberg","95","78","457868","40000000","96917897"
"319","High School","2010","Nov","Comedy","R","99","English","John Stalberg Jr.","Erik Linthorst","Adrien Brody","31","59","6040","1000000","1039034"
"320","Transformers: Dark of the Moon","2011","Jun","Action","PG-13","154","English","Michael Bay","Ehren Kruger","Shia LaBeouf","42","63","315734","195000000","352390543"
"321","The Five-Year Engagement","2012","Apr","Comedy","R","124","English","Nicholas Stoller","Jason Segel","Jason Segel","62","62","76999","30000000","28700285"
"322","Passion","2012","Aug","Crime","R","102","English","Brian De Palma","Brian De Palma","Rachel McAdams","53","53","15998","30000000","91186"
"323","Concussion","2015","Dec","Biography","PG-13","123","English","Peter Landesman","Peter Landesman","Will Smith","55","71","18046","35000000","34255169"
"324","Kick-Ass","2010","Apr","Action","R","117","English","Matthew Vaughn","Jane Goldman","Aaron Taylor-Johnson","66","77","420581","30000000","48043505"
"325","The Guilt Trip","2012","Dec","Comedy","PG-13","95","English","Anne Fletcher","Dan Fogelman","Barbra Streisand","50","58","29531","40000000","37101011"
"326","Spy Kids: All the Time in the World in 4D","2011","Aug","Action","PG","89","English","Robert Rodriguez","Robert Rodriguez","Jessica Alba","37","36","15211","27000000","38536376"
"327","Robot & Frank","2012","Sep","Comedy","PG-13","89","English","Jake Schreier","Christopher Ford","Frank Langella","67","71","50539","2500000","3317468"
"328","Life's a Breeze","2013","Jul","Comedy","R","83","English","Lance Daly","Lance Daly","Kelly Thornton","55","63","677","4000000","2926"
"329","Daddy's Home","2010","Dec","Comedy","PG-13","96","English","Sean Anders","Brian Burns","Will Ferrell","42","64","15349","1000000","1012"
"330","Immortals","2011","Nov","Action","R","110","English","Tarsem Singh","Charley Parlapanides","Henry Cavill","46","61","134726","75000000","83504017"
"331","While We're Young","2014","Apr","Comedy","R","97","English","Noah Baumbach","Noah Baumbach","Naomi Watts","77","64","25893","10000000","7574066"
"332","The Second Best Exotic Marigold Hotel","2015","Mar","Comedy","PG","122","English","John Madden","John Madden","Dev Patel","51","66","19409","10000000","33071558"
"333","Letters to Juliet","2010","May","Comedy","PG","105","English","Gary Winick","Jose Rivera","Amanda Seyfried","50","65","70607","30000000","53021560"
"334","Manglehorn","2014","Jun","Drama","PG-13","97","English","David Gordon Green","Paul Logan","Al Pacino","56","56","4032","4000000","132075"
"335","The Tempest","2010","Jan","Comedy","PG-13","110","English","Julie Taymor","Julie Taymor","Felicity Jones","43","54","5976","20000000","277943"
"336","Battleship","2012","May","Action","PG-13","131","English","Peter Berg","Jon Hoeber","Taylor Kitsch","41","59","196619","209000000","65233400"
"337","That Awkward Moment","2014","Jan","Comedy","R","94","English","Tom Gormican","Tom Gormican","Zac Efron","36","61","72589","8000000","26049082"
"338","World War Z","2013","Jun","Action","PG-13","116","English","Marc Forster","Matthew Michael Carnahan","Brad Pitt","63","70","441235","190000000","202359711"
"339","The Night Before","2015","Nov","Comedy","R","101","English","Jonathan Levine","Jonathan Levine","Joseph Gordon-Levitt","58","68","14863","25000000","43035725"
"340","Lucky Numbers","2015","Oct","Comedy","R","105","English","Nora Ephron","Adam Resnick","John Travolta","31","50","8396","2000","4000"
"341","Straight Outta Compton","2015","Aug","Biography","R","147","English","F. Gary Gray","Jonathan Herman","O'Shea Jackson Jr.","72","80","96338","28000000","160902085"
"342","The Last Godfather","2010","Dec","Comedy","PG-13","100","English","Hyung-rae Shim","Hyung-rae Shim","Harvey Keitel","N/A","36","897","13400000","163591"
"343","War Room","2015","Aug","Drama","PG","120","English","Alex Kendrick","Alex Kendrick","Karen Abercrombie","26","62","6744","3000000","67790117"
"344","Repo Men","2010","Mar","Action","R","111","English","Miguel Sapochnik","Eric Garcia","Jude Law","32","63","86010","32000000","13794835"
"345","The Boy Next Door","2015","Jan","Mystery","R","91","English","Rob Cohen","Barbara Curry","Jennifer Lopez","30","46","24392","4000000","35385560"
"346","Sherlock Holmes: A Game of Shadows","2011","Dec","Action","PG-13","129","English","Guy Ritchie","Michele Mulroney","Robert Downey Jr.","48","75","322965","125000000","186764258"
"347","Mama","2013","Jan","Fantasy","PG-13","100","English","Andrés Muschietti","Andrés Muschietti","Jessica Chastain","57","62","128599","20000000","71588220"
"348","The Green Hornet","2011","Jan","Action","PG-13","119","English","Michel Gondry","Seth Rogen","Seth Rogen","39","59","132806","120000000","98780042"
"349","Sweet Dreams","2013","Oct","Biography","PG-13","115","English","Karel Reisz","Robert Getchell","Jessica Lange","N/A","71","3013","6000","58344"
"350","That's My Boy","2012","Jun","Comedy","R","116","English","Sean Anders","David Caspe","Adam Sandler","31","56","68230","70000000","36931089"
"351","Kick-Ass 2","2013","Aug","Action","R","103","English","Jeff Wadlow","Jeff Wadlow","Aaron Taylor-Johnson","41","66","191937","22000000","28751715"
"352","Seven Psychopaths","2012","Oct","Comedy","R","110","English","Martin McDonagh","Martin McDonagh","Michael Pitt","66","72","179396","15000000","15024049"
"353","It Follows","2014","Mar","Horror","R","100","English","David Robert Mitchell","David Robert Mitchell","Bailey Spry","83","69","95103","2000000","14673301"
"354","For Greater Glory: The True Story of Cristiada","2012","Jun","Drama","R","145","Spanish","Dean Wright","Michael Love","Mauricio Kuri","35","66","3554","10818775","5669081"
"355","This Means War","2012","Feb","Action","PG-13","103","English","McG","Timothy Dowling","Reese Witherspoon","31","64","143567","65000000","54760791"
"356","Bully","2011","Dec","Crime","R","115","English","Larry Clark","Jim Schutze","Brad Renfro","45","70","28753","1100000","3483795"
"357","One Direction: This Is Us","2013","Aug","Documentary","PG","92","English","Morgan Spurlock","Morgan Spurlock","Niall Horan","49","40","21955","10000000","28818967"
"358","A Resurrection","2013","Mar","Horror","R","89","English","Matt Orlando","Matt Orlando","Mischa Barton","N/A","40","1358","5000000","10730"
"359","Jab Tak Hai Jaan","2012","Nov","Drama","NOT RATED","176","Hindi","Yash Chopra","Aditya Chopra","Shah Rukh Khan","N/A","69","39988","7217600","3047539"
"360","Lawless","2012","Aug","Crime","R","116","English","John Hillcoat","Nick Cave","Shia LaBeouf","58","73","178265","26000000","37400127"
"361","Compliance","2012","Sep","Crime","R","90","English","Craig Zobel","Craig Zobel","Ann Dowd","68","64","23725","270000","318622"
"362","The Debt","2010","Aug","Drama","R","113","English","John Madden","Matthew Vaughn","Helen Mirren","65","69","54286","20000000","31177548"
"363","Arthur","2011","Apr","Comedy","PG-13","110","English","Jason Winer","Peter Baynham","Russell Brand","36","58","44712","40000000","33015696"
"364","The Trouble with Barry","2013","Mar","Comedy","NOT RATED","88","English","Mike Justice, Stephen Kitaen","Mike Justice","Peter Stickles","N/A","65","52","10000","29058"
"365","The Hateful Eight","2015","Dec","Crime","R","187","English","Quentin Tarantino","Quentin Tarantino","Samuel L. Jackson","68","80","166614","62000000","53007830"
"366","The Guard","2011","Jul","Comedy","R","96","English","John Michael McDonagh","John Michael McDonagh","Ronan Collins","78","73","62839","6000000","5359774"
"367","Cocktail","2012","Jul","Comedy","R","104","English","Roger Donaldson","Heywood Gould","Tom Cruise","12","58","58244","7980000","1027121"
"368","Your Highness","2011","Apr","Adventure","R","102","English","David Gordon Green","Danny McBride","Danny McBride","31","56","83688","49900000","21596445"
"369","Oldboy","2013","Nov","Drama","R","120","Korean","Chan-wook Park","Garon Tsuchiya","Min-sik Choi","74","84","340409","30000000","2162593"
"370","The Disappearance of Eleanor Rigby: Them","2014","Sep","Drama","R","123","English","Ned Benson","Ned Benson","James McAvoy","57","64","7577","3000000","436251"
"371","Fair Game","2010","Dec","Biography","PG-13","108","English","Doug Liman","Jez Butterworth","Naomi Watts","69","68","37490","22000000","9528092"
"372","Spring Breakers","2012","Mar","Action","R","94","English","Harmony Korine","Harmony Korine","James Franco","63","53","104457","5000000","14123773"
"373","Stake Land","2010","Jun","Drama","R","98","English","Jim Mickle","Nick Damici","Connor Paolo","66","65","33271","650000","18469"
"374","My Uncle Rafael","2012","Sep","Comedy","PG-13","102","English","Marc Fusco","Scott Yagemann","John Michael Higgins","36","55","179","1300000","210156"
"375","Blue Ruin","2013","Jul","Crime","R","90","English","Jeremy Saulnier","Jeremy Saulnier","Macon Blair","77","71","37887","1066167","258113"
"376","Life Is a Dream","2014","Dec","Drama","NOT RATED","100","French","Raoul Ruiz","Raoul Ruiz","Sylvain Thirolle","N/A","72","69","500000","850000"
"377","Hansel & Gretel: Witch Hunters","2013","Jan","Action","R","88","English","Tommy Wirkola","Tommy Wirkola","Jeremy Renner","21","61","153472","50000000","55703475"
"378","Demonic","2015","Feb","Horror","R","83","English","Will Canon","Max La Bella","Maria Bello","N/A","53","6359","3000000","3387774"
"379","The Good Doctor","2011","Aug","Drama","PG-13","93","English","Lance Daly","John Enbom","Orlando Bloom","52","56","4914","6000000","4106"
"380","Price Check","2012","Apr","Comedy","NOT RATED","92","English","Michael Walker","Michael Walker","Eric Mabius","67","55","1808","2000000","6240"
"381","Predators","2010","Jul","Action","R","107","English","Nimród Antal","Alex Litvak","Adrien Brody","51","64","166275","40000000","52000688"
"382","Trespass","2011","Oct","Crime","R","91","English","Joel Schumacher","Karl Gajdusek","Nicolas Cage","37","53","33306","35000000","16816"
"383","The Fifth Estate","2013","Oct","Biography","R","128","English","Bill Condon","Daniel Domscheit-Berg","Peter Capaldi","49","62","27683","28000000","3254172"
"384","Jack the Giant Slayer","2013","Mar","Adventure","PG-13","114","English","Bryan Singer","Darren Lemke","Nicholas Hoult","51","63","102339","195000000","65171860"
"385","Drive","2011","Sep","Crime","R","100","English","Nicolas Winding Refn","Hossein Amini","Ryan Gosling","78","78","416904","15000000","35060689"
"386","Ice Age: Continental Drift","2012","Jul","Animation","PG","88","English","Steve Martino, Mike Thurmeier","Michael Berg","Aziz Ansari","49","67","138144","95000000","161317423"
"387","Tim and Eric's Billion Dollar Movie","2012","Jan","Comedy","R","93","English","Tim Heidecker, Eric Wareheim","Tim Heidecker","Bill A. Jones","40","53","7714","3000000","200803"
"388","Homefront","2013","Nov","Action","R","100","English","Gary Fleder","Sylvester Stallone","Jason Statham","40","65","79280","22000000","18438000"
"389","I Smile Back","2015","Nov","Drama","R","85","English","Adam Salky","Paige Dylan","Josh Charles","59","60","2218","495000","57678"
"390","The Samaritan","2012","Apr","Crime","R","90","English","David Weaver","Elan Mastai","Samuel L. Jackson","37","56","7417","12000000","1744"
"391","Godzilla","2014","May","Action","PG-13","123","English","Gareth Edwards","Max Borenstein","Aaron Taylor-Johnson","62","65","291436","160000000","200616740"
"392","Loosies","2011","Nov","Comedy","PG-13","89","English","Michael Corrente","Peter Facinelli","Peter Facinelli","35","62","4926","3900000","3318"
"393","Everest","2015","Sep","Adventure","PG-13","121","English","Baltasar Kormákur","William Nicholson","Jason Clarke","64","71","106049","55000000","43482270"
"394","Goosebumps","2015","Oct","Adventure","PG","103","English","Rob Letterman","Darren Lemke","Jack Black","60","64","31810","58000000","80021740"
"395","Jane Got a Gun","2015","Jan","Action","R","98","English","Gavin O'Connor","Brian Duffield","Natalie Portman","50","60","1019","25000000","1397284"
"396","Mirror Mirror","2012","Mar","Adventure","PG","106","English","Tarsem Singh","Marc Klein","Julia Roberts","46","56","69014","85000000","64933670"
"397","Hot Tub Time Machine 2","2015","Feb","Comedy","R","93","English","Steve Pink","Josh Heald","Rob Corddry","29","51","25476","14000000","12282677"
"398","Happy Christmas","2014","Jun","Comedy","R","82","English","Joe Swanberg","Joe Swanberg","Anna Kendrick","70","56","5242","70000","30312"
"399","Sinister 2","2015","Aug","Horror","R","97","English","Ciarán Foy","Scott Derrickson","James Ransone","32","53","18317","10000000","27642169"
"400","Lay the Favorite","2012","Jun","Comedy","R","94","English","Stephen Frears","D.V. DeVincentis","Rebecca Hall","38","48","8511","26350000","20998"
"401","Safe Haven","2013","Feb","Drama","PG-13","115","English","Lasse Hallström","Dana Stevens","Julianne Hough","34","67","73513","28000000","71346930"
"402","Step Up All In","2014","Aug","Drama","PG-13","112","English","Trish Sie","Duane Adler","Ryan Guzman","45","60","23820","45000000","14897580"
"403","Midnight in Paris","2011","Jun","Comedy","PG-13","94","English","Woody Allen","Woody Allen","Owen Wilson","81","77","289828","17000000","56816662"
"404","The Intern","2015","Sep","Comedy","PG-13","121","English","Nancy Meyers","Nancy Meyers","Robert De Niro","51","72","98627","35000000","75274748"
"405","Runner Runner","2013","Oct","Crime","R","88","English","Brad Furman","Brian Koppelman","Justin Timberlake","36","56","50327","30000000","19316646"
"406","Why Did I Get Married Too?","2010","Apr","Comedy","PG-13","121","English","Tyler Perry","Tyler Perry","Tyler Perry","43","44","7488","20000000","60072596"
"407","The Monuments Men","2014","Feb","Drama","PG-13","118","English","George Clooney","George Clooney","George Clooney","52","61","96833","70000000","77951843"
"408","The Expendables 3","2014","Aug","Action","PG-13","126","English","Patrick Hughes","Sylvester Stallone","Sylvester Stallone","35","61","120130","90000000","38988855"
"409","The Expendables 2","2012","Aug","Action","R","103","English","Simon West","Richard Wenk","Sylvester Stallone","51","67","238519","92000000","85017401"
"410","Crazy Eyes","2012","Mar","Comedy","NOT RATED","95","English","Adam Sherman","Adam Sherman","Lukas Haas","31","39","463","10000000","6106"
"411","Percy Jackson & the Olympians: The Lightning Thief","2010","Feb","Adventure","PG","118","English","Chris Columbus","Craig Titley","Logan Lerman","47","59","136674","95000000","88761720"
"412","Hanna","2011","Apr","Action","PG-13","111","English","Joe Wright","Seth Lochhead","Saoirse Ronan","65","68","154452","30000000","40259119"
"413","The Avengers","2012","May","Action","PG-13","143","English","Joss Whedon","Joss Whedon","Robert Downey Jr.","69","81","931957","220000000","623357910"
"414","Disconnect","2012","Jul","Drama","R","115","English","Henry Alex Rubin","Andrew Stern","Jason Bateman","64","76","58869","10000000","7435950"
"415","The Odd Life of Timothy Green","2012","Aug","Comedy","PG","105","English","Peter Hedges","Peter Hedges","Jennifer Garner","47","66","36510","25000000","51853450"
"416","Step Up Revolution","2012","Jul","Drama","PG-13","99","English","Scott Speer","Amanda Brody","Cleopatra Coleman","43","65","43942","33000000","35057332"
"417","How to Train Your Dragon","2010","Mar","Animation","PG","98","English","Dean DeBlois, Chris Sanders","William Davies","Jay Baruchel","74","82","457234","165000000","217581231"
"418","Parental Guidance","2012","Dec","Comedy","PG","105","English","Andy Fickman","Lisa Addario","Billy Crystal","36","61","20669","25000000","77264926"
"419","Jack Reacher","2012","Dec","Action","PG-13","130","English","Christopher McQuarrie","Lee Child","Tom Cruise","50","70","218680","57000000","80070736"
"420","Chappie","2015","Mar","Action","R","120","English","Neill Blomkamp","Neill Blomkamp","Sharlto Copley","41","69","158751","49000000","31569268"
"421","Sinister","2012","Oct","Horror","R","110","English","Scott Derrickson","Scott Derrickson","Ethan Hawke","53","68","144635","3000000","47917444"
"422","Knight and Day","2010","Jun","Action","PG-13","109","English","James Mangold","Patrick O'Neill","Tom Cruise","46","63","144337","117000000","76418654"
"423","The Three Musketeers","2011","Oct","Action","PG-13","110","English","Paul W.S. Anderson","Alex Litvak","Matthew Macfadyen","35","58","86612","75000000","20374484"
"424","Hit and Run","2012","Aug","Action","R","100","English","David Palmer, Dax Shepard","Dax Shepard","Kristen Bell","50","61","28662","2000000","13746550"
"425","Exodus: Gods and Kings","2014","Dec","Action","PG-13","150","English","Ridley Scott","Adam Cooper","Christian Bale","52","61","120720","140000000","65014513"
"426","Trust","2010","Apr","Crime","R","106","English","David Schwimmer","Andy Bellin","Clive Owen","60","70","33094","9500000","117623"
"427","Burke and Hare","2010","Sep","Comedy","R","91","English","John Landis","Piers Ashworth","Bill Bailey","46","62","15754","10000000","4833"
"428","Hatchet II","2010","Nov","Comedy","R","85","English","Adam Green","Adam Green","Danielle Harris","49","54","8983","800000","62000"
"429","Sisters","2015","Dec","Comedy","R","118","English","Jason Moore","Paula Pell","Amy Poehler","58","62","20899","30000000","86535790"
"430","Her","2013","Jan","Drama","R","126","English","Spike Jonze","Spike Jonze","Joaquin Phoenix","90","80","333347","23000000","25556065"
"431","American Ultra","2015","Aug","Action","R","96","English","Nima Nourizadeh","Max Landis","Jesse Eisenberg","50","61","41312","28000000","14434604"
"432","Playing for Keeps","2012","Dec","Comedy","PG-13","105","English","Gabriele Muccino","Robbie Fox","Gerard Butler","27","57","22974","35000000","13101142"
"433","Whiplash","2014","Oct","Drama","R","107","English","Damien Chazelle","Damien Chazelle","Miles Teller","88","85","358966","3300000","13092000"
"434","Prince Avalanche","2013","Sep","Comedy","R","94","English","David Gordon Green","David Gordon Green","Paul Rudd","73","64","15211","725000","201384"
"435","The Devil Inside","2012","Jan","Horror","R","83","English","William Brent Bell","William Brent Bell","Fernanda Andrade","18","42","29825","1000000","53245055"
"436","My Old Lady","2014","Nov","Comedy","PG-13","107","English","Israel Horovitz","Israel Horovitz","Kevin Kline","52","63","5125","5000000","1474563"
"437","The Romantics","2010","May","Comedy","PG-13","95","English","Galt Niederhoffer","Galt Niederhoffer","Katie Holmes","43","51","9876","4500000","103280"
"438","Stand Up Guys","2012","Feb","Comedy","R","95","English","Fisher Stevens","Noah Haidle","Al Pacino","41","65","43885","15000000","3301046"
"439","The Iceman","2012","May","Biography","R","106","English","Ariel Vromen","Morgan Land","Michael Shannon","60","69","52809","10000000","1939441"
"440","Resident Evil: Retribution","2012","Sep","Action","R","96","English","Paul W.S. Anderson","Paul W.S. Anderson","Milla Jovovich","39","54","101483","65000000","42345531"
"441","Detention of the Dead","2012","Apr","Comedy","NOT RATED","87","English","Alex Craig Mann","Alex Craig Mann","Jacob Zachar","N/A","45","1932","500000","1332"
"442","The Gallows","2015","Jul","Horror","R","81","English","Travis Cluff, Chris Lofing","Travis Cluff","Reese Mishler","30","43","11177","100000","22757819"
"443","Ouija","2014","Oct","Horror","PG-13","89","English","Stiles White","Juliet Snowden","Olivia Cooke","38","44","29121","5000000","50856010"
"444","The Maze Runner","2014","Sep","Action","PG-13","113","English","Wes Ball","Noah Oppenheim","Dylan O'Brien","56","68","288867","34000000","102413606"
"445","Underworld: Awakening","2012","Jan","Action","R","88","English","Måns Mårlind, Björn Stein","Len Wiseman","Kate Beckinsale","39","64","113061","70000000","62321039"
"446","Escobar: Paradise Lost","2014","Jun","Crime","R","120","English","Andrea Di Stefano","Andrea Di Stefano","Benicio Del Toro","56","66","11866","17000000","106869"
"447","Escape Plan","2013","Oct","Action","R","115","English","Mikael Håfström","Miles Chapman","Sylvester Stallone","49","67","170072","50000000","25135965"
"448","Moonrise Kingdom","2012","Jun","Adventure","PG-13","94","English","Wes Anderson","Wes Anderson","Bruce Willis","84","78","229341","16000000","45512466"
"449","Planes","2013","Aug","Animation","PG","91","English","Klay Hall","John Lasseter","Dane Cook","39","58","33902","50000000","90256456"
"450","The Way Way Back","2013","Jul","Comedy","PG-13","103","English","Nat Faxon, Jim Rash","Nat Faxon","Steve Carell","68","74","110930","4600000","21490107"
"451","Bullet to the Head","2012","Feb","Action","R","92","English","Walter Hill","Alessandro Camon","Sylvester Stallone","48","57","38188","55000000","9483821"
"452","Promised Land","2012","Jan","Drama","R","106","English","Gus Van Sant","John Krasinski","Matt Damon","55","66","28735","15000000","7597898"
"453","Run All Night","2015","Mar","Action","R","114","English","Jaume Collet-Serra","Brad Ingelsby","Liam Neeson","59","66","68905","50000000","26442251"
"454","Dark Skies","2013","Feb","Horror","PG-13","97","English","Scott Stewart","Scott Stewart","Keri Russell","50","63","54907","3500000","17411930"
"455","The Peanuts Movie","2015","Nov","Animation","G","88","English","Steve Martino","Bryan Schulz","Trombone Shorty","67","73","18928","99000000","129984193"
"456","Anomalisa","2015","Jan","Animation","R","90","English","Duke Johnson, Charlie Kaufman","Charlie Kaufman","David Thewlis","88","75","15639","8000000","2233178"
"457","Skin Trade","2014","Apr","Action","R","96","English","Ekachai Uekrongtham","Steven Elder","Dolph Lundgren","39","57","4677","9000000","1242"
"458","Rise of the Planet of the Apes","2011","Aug","Action","PG-13","105","English","Rupert Wyatt","Rick Jaffa","Andy Serkis","68","76","391195","93000000","176740650"
"459","Savannah","2013","Apr","Drama","PG-13","101","English","Annette Haywood-Carter","Ken Carter","Jim Caviezel","25","60","994","5000000","36746"
"460","The East","2013","Jun","Drama","PG-13","116","English","Zal Batmanglij","Zal Batmanglij","Brit Marling","68","69","40401","6500000","2268296"
"461","Ghetto Physics","2010","Oct","Drama","R","94","English","William Arntz, E. Raymond Brown","William Arntz","Mike Foy","42","57","64","500000","10087"
"462","The Counselor","2013","Oct","Crime","R","117","English","Ridley Scott","Cormac McCarthy","Michael Fassbender","48","54","77991","25000000","16973715"
"463","A Long Way Off","2014","Jun","Drama","PG","105","English","Michael Davis, John Errington","Jon Macy","Robert Davi","N/A","46","107","500000","27013"
"464","Fifty Shades of Black","2016","Jan","Comedy","R","92","English","Michael Tiddes","Marlon Wayans","Marlon Wayans","28","34","3035","5500000","9371544"
"465","Annabelle","2014","Oct","Horror","R","99","English","John R. Leonetti","Gary Dauberman","Annabelle Wallis","37","54","73657","6500000","84027366"
"466","Scream 4","2011","Apr","Horror","R","111","English","Wes Craven","Kevin Williamson","Lucy Hale","52","62","101041","40000000","38176892"
"467","Frozen","2013","Nov","Animation","PG","102","English","Chris Buck, Jennifer Lee","Jennifer Lee","Kristen Bell","74","76","396070","150000000","400736600"
"468","Creed","2015","Nov","Drama","PG-13","133","English","Ryan Coogler","Ryan Coogler","Michael B. Jordan","82","78","97797","35000000","108988796"
"469","The SpongeBob Movie: Sponge Out of Water","2015","Feb","Animation","PG","92","English","Paul Tibbitt, Mike Mitchell","Glenn Berger","Antonio Banderas","62","60","31734","74000000","162495848"
"470","Beasts of the Southern Wild","2012","Jul","Drama","PG-13","93","English","Benh Zeitlin","Lucy Alibar","Quvenzhané Wallis","86","73","68451","1800000","12784397"
"471","Holla II","2013","Apr","Comedy","R","90","English","H.M. Coakley","H.M. Coakley","Vanessa Bell Calloway","N/A","71","66","1000000","41537"
"472","Seeking a Friend for the End of the World","2012","Jun","Adventure","R","101","English","Lorene Scafaria","Lorene Scafaria","Brad Morris","59","67","84192","10000000","6619173"
"473","Pacific Rim","2013","Jul","Action","PG-13","131","English","Guillermo del Toro","Travis Beacham","Charlie Hunnam","64","70","364381","190000000","101785482"
"474","God's Not Dead","2014","Mar","Drama","PG","113","English","Harold Cronk","Hunter Dennis","Kevin Sorbo","16","50","28133","2000000","60753735"
"475","Unfinished Business","2015","Mar","Comedy","R","91","English","Ken Scott","Steve Conrad","Vince Vaughn","32","54","20531","35000000","10214013"
"476","Sin City: A Dame to Kill For","2014","Aug","Crime","R","102","English","Frank Miller, Robert Rodriguez","Frank Miller","Mickey Rourke","46","65","103177","65000000","13757804"
"477","The Adventures of Tintin","2011","Dec","Animation","PG","107","English","Steven Spielberg","Steven Moffat","Jamie Bell","68","74","172337","130000000","77564037"
