The Man from U.N.C.L.E.
"Had a 1979 UNCLE movie been made, Ken Adam would have been production designer: https://t.co/TwcItfojDh"
"From the archives, 2013: Ken Adam was part of the 1979 Man From UNCLE movie that wasn't https://t.co/TwcItfojDh"
"RT @MasalaMoviez: The Man From U.N.C.L.E. Official Trailer #1 (2015) – Henry Cavill, Armie Hammer Movie HD  #Hollywood Trailers https://t.c…"
"The Man From U.N.C.L.E. Official Trailer #1 (2015) – Henry Cavill, Armie Hammer Movie HD  #Hollywood Trailers https://t.co/2zI8JVB3KD"
Movie night and socialising! 'The Man From U.N.C.L.E.'
"RT @lyajkapietro: the man from u.n.c.l.e (2015) 
; this movie is bomb af
; go enter the co-owner co... (Vine by woah film edits) https://t.…"
"the man from u.n.c.l.e (2015) 
; this movie is bomb af
; go enter the co-owner co... (Vine by woah film edits) https://t.co/u8OD2pSEUa"
I just checked into The Man from U.N.C.L.E. @TelfieApp #Telfie #VoiceofTV https://t.co/Vise4bVUl3
"The Man From U.N.C.L.E.

Loved that movie. https://t.co/KtGicIwR5V"
RT @smokeinhead: @ManFromUNCLE @realguyritchie The Man from U.N.C.L.E. is BOOM BABY movie!
"Hi, Crush! &lt;3 Watched The Man From U.N.C.L.E and I was so kilig sa isang action movie hahaha https://t.co/cc6DdZqgTR"
The man from u.n.c.l.e. was a fiiiiiiine ass movie. Hoping for sequels
The Man from U.N.C.L.E.  https://t.co/a4Mn4kp40B  @sergio132615 #Movie
The Man from U.N.C.L.E.  https://t.co/mKHw2T26rN  @teddyjordan16 #Movie
